"TOA5","CR1000_Lanyu","CR1000","81819","CR1000.Std.31","CPU:CR1000_CWB_RadObs_Lanyu_20180928.CR1","36738","Aux_minute"
"TIMESTAMP","RECORD","BattV_Min","SWD_tot_mv_Avg","SWD_dif_mv_Avg","SWD_dir_mv_Avg","LWD_mv_Avg","UVB_mv_Avg","UVE_mv_Avg","PAR_mv_Avg","SWD_tot_ct_Avg","SWD_dif_ct_Avg","LWD_ct_Avg","mt_flag_Tot","SWD_tot_mv_Max","SWD_tot_mv_Min","SWD_tot_mv_Std","SWD_dif_mv_Max","SWD_dif_mv_Min","SWD_dif_mv_Std","SWD_dir_mv_Max","SWD_dir_mv_Min","SWD_dir_mv_Std","LWD_mv_Max","LWD_mv_Min","LWD_mv_Std","UVB_mv_Max","UVB_mv_Min","UVB_mv_Std","UVE_mv_Max","UVE_mv_Min","UVE_mv_Std","PAR_mv_Max","PAR_mv_Min","PAR_mv_Std","SWD_tot_ct_Max","SWD_tot_ct_Min","SWD_tot_ct_Std","SWD_dif_ct_Max","SWD_dif_ct_Min","SWD_dif_ct_Std","LWD_ct_Max","LWD_ct_Min","LWD_ct_Std"
"TS","RN","Volts","mV","mV","mV","mV","mV","mV","mV","C","C","C","","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","C","C","C","C","C","C","C","C","C"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std"
"2019-05-09 00:19:00",320610,12.02,0.7848922,0.777846,0.0003945879,-0.07485901,55.11736,53.76439,0.9281277,0,0,23.02958,0,0.7914298,0.7779071,0.002608572,0.7846655,0.7745249,0.002348863,0.003382205,0,0.001085757,-0.07440794,-0.07779071,0.001149878,55.31026,54.96978,0.1298554,53.94878,53.6083,0.1399774,0.9334813,0.9233419,0.00333981,0,0,0,0,0,0,23.05443,23.00923,0.01428622
"2019-05-09 00:20:00",320611,12.02,0.7883348,0.7817395,5.637008E-05,-0.07722695,54.97828,53.62815,0.9306691,0,0,23.03417,0,0.7982002,0.7812893,0.00618295,0.7914359,0.7745249,0.006032375,0.003382205,0,0.0004329868,-0.07440776,-0.07779071,0.001260517,55.13997,54.7996,0.06536169,53.94867,53.60822,0.06285294,0.9402528,0.9199597,0.006538736,0,0,0,0,0,0,23.05443,23.00923,0.01528035
"2019-05-09 00:21:00",320612,12.02,0.8175269,0.8111008,5.636951E-05,-0.07440775,55.19094,53.85783,0.9632986,0,0,23.0184,0,0.8387783,0.7981923,0.01175017,0.832014,0.7914279,0.01156043,0.003382171,0,0.0004329824,-0.07440776,-0.07440776,0,55.48026,54.9697,0.1215355,54.11878,53.60822,0.1505174,0.9875938,0.9436256,0.0128862,0,0,0,0,0,0,23.05443,23.00923,0.0132645
"2019-05-09 00:22:00",320613,12.02,0.8683211,0.8617821,5.636986E-05,-0.07525373,55.35822,54.0478,1.020069,0,0,23.01787,0,0.9064273,0.8387783,0.02047932,0.899663,0.832014,0.01986435,0.003382192,0,0.0004329851,-0.07440776,-0.0777904,0.001464549,55.65037,55.13982,0.1246397,54.28889,53.77834,0.121499,1.062008,0.9875938,0.0227409,0,0,0,0,0,0,23.03279,23.00923,0.01129199
"2019-05-09 00:23:00",320614,12.02,0.9567592,0.9489802,0.0002254776,-0.07705709,55.97084,54.62355,1.119949,0,0,23.02062,0,1.007885,0.9064273,0.03003466,1.001121,0.899663,0.02969124,0.003382164,0,0.00084366,-0.07440761,-0.08117194,0.00164421,56.16087,55.48014,0.2467856,54.96958,54.11866,0.2743427,1.180375,1.062008,0.03419204,0,0,0,0,0,0,23.03279,23.00923,0.01177324
"2019-05-09 00:24:00",320615,12.02,1.065049,1.055071,0.0001127392,-0.08004496,56.31117,55.02911,1.241881,0,0,23.02454,0,1.109358,1.011267,0.0296604,1.095829,1.001121,0.02873784,0.003382189,0,0.0006071193,-0.07778978,-0.08117255,0.001594571,56.67138,56.16083,0.1357512,55.30991,54.7994,0.1484319,1.291996,1.180375,0.03285021,0,0,0,0,0,0,23.03279,23.00923,0.0112372
"2019-05-09 00:25:00",320616,12.02,1.14465,1.133207,0.001296513,-0.08168015,56.80183,55.4432,1.333377,0,0,23.03002,0,1.183774,1.109358,0.02171574,1.170245,1.099212,0.02117383,0.003382211,0,0.001644424,-0.08117255,-0.08455528,0.001207793,57.1819,56.33101,0.1217919,55.82043,55.30987,0.1080348,1.37656,1.291996,0.025021,0,0,0,0,0,0,23.07603,23.00923,0.01688636
"2019-05-09 00:26:00",320617,12.02,1.228866,1.21607,0.003156719,-0.08455499,57.15636,55.86296,1.430388,0,0,23.05803,0,1.275083,1.183774,0.02792472,1.261554,1.170245,0.0279981,0.003382211,0,0.0008436686,-0.08455458,-0.08455528,3.431023E-07,57.52224,56.84153,0.2215004,56.16077,55.48006,0.2458737,1.481396,1.37656,0.03219572,0,0,0,0,0,0,23.07603,23.00923,0.01595153
"2019-05-09 00:27:00",320618,12.02,1.310367,1.29588,0.003213065,-0.084498,57.59031,56.18345,1.525135,0,0,23.06405,0,1.33595,1.278465,0.01788609,1.319039,1.261554,0.01753593,0.003382183,0,0.0007371277,-0.08117239,-0.08455458,0.0004329576,57.69242,57.35205,0.08897192,56.33095,56.16074,0.05784889,1.55579,1.484778,0.02126878,0,0,0,0,0,0,23.09767,23.03087,0.01504988
"2019-05-09 00:28:00",320619,12.02,1.324452,1.308612,0.003382156,-0.08624496,57.68388,56.28838,1.542038,0,0,23.08322,0,1.339332,1.30552,0.01076767,1.319039,1.288609,0.009998265,0.003382176,0.003382152,8.479991E-09,-0.08455381,-0.08793658,0.001691159,58.03276,57.52219,0.08466887,56.67129,56.16072,0.1146937,1.55579,1.518597,0.01149781,0,0,0,0,0,0,23.12123,23.05247,0.01518566
